Code,Account,Courses Taken,Pass Rate,Number of Audits
Dealer 145,do not use - former partner employees,381,0,1
Dealer 146,dority roofing,1,0,1
Dealer 147,downstream construction,3,0,1
Dealer 148,e2 solar inc,13,0.5,2
Dealer 149,earthlight technologies llc,366,0.786885246,61
Dealer 150,eclipse energy and construction,456,0.828947368,76
Dealer 151,eco solar llc,10,0,1
Dealer 152,ecobilt energy systems,2,0,1
Dealer 153,econo air,2,0,1
Dealer 154,ecosolar usa,119,0.411764706,17
Dealer 155,ecs energy ltd,3,0,1
Dealer 156,"demarse electric, dba apex solar power",0,0,24
Dealer 157,edge energy,11,0,1
Dealer 158,electric tech construction inc,2,0,1
Dealer 159,electrical contracting enterprises llc,2,0,1
Dealer 160,electrical distribution services,5,0,1
Dealer 161,empower solar,66,1,2
Dealer 162,empower solar solutions,33,0.454545455,33
Dealer 163,endurance solar & engineering,2,0,1
Dealer 164,energized solar,2,0,1
Dealer 165,energy builders inc,18,0.444444444,9
Dealer 166,energy by choice ltd,8,0,1
Dealer 167,energy concepts,318,0.65,80
Dealer 168,earth smart solar,0,0,1
Dealer 169,energy conservation services,1,0,1
Dealer 170,energy efficiency solar,1,0,1
Dealer 171,energy house,5,0,1
Dealer 172,eclipse energy commercial llc,0,0,16
Dealer 173,energy industries llc,14,0,1
Dealer 174,energy plus solar inc,315,0.514285714,35
Dealer 175,energy savers home performance,4,0,1
Dealer 176,envinity inc,4,0,1
Dealer 177,"environmental control inc, dba encon",8,1,1
Dealer 178,esa solar energy llc,10,0.6,5
Dealer 179,esmay electric,70,0.928571429,14
Dealer 180,etm solar,4,0,1
Dealer 181,fidelity roof company,1,0,1
Dealer 182,fls energy,8,0,1
Dealer 183,element power systems,0,0,2
Dealer 184,frase electric llc,2,0,1
Dealer 185,elite electric,0,0,132
Dealer 186,freedom solar,39,1,3
Dealer 187,elite system choice llc,0,0,3
Dealer 188,freedom solar power,42,0,1
Dealer 189,fresno economic opportunity commission,65,0,1
Dealer 190,future energy corporation southern california,4,0,1
Dealer 191,emt renewables,0,0,3
Dealer 192,gaia energy systems,4,0,1
Dealer 193,gary luke roofing,1,0,1
Dealer 194,generation 819,3,0,1
Dealer 195,genrenew llc,216,0.666666667,54
Dealer 196,geo innovation llc,2,0,1
Dealer 197,geogenix llc,32,0,1
