Dealer Name,Courses Taken,Pass Rate
legacy solar,336,0.8125
"legend ventures llc, dba legend solar",4,0
lifestyle solar inc,2,0
lifetime power,18,0.666666667
"lightwave solar electric, antioch",9,0
litchfield hills solar llc,2,0
living solar,2,0
lotus energy,16,0
luminalt,93,0.666666667
m. kahn solar inc,24,0.75
majestic son & sons inc,4,0
martifer solar,8,0
maui solar project llc,2,0
"mauzy heating, air and solar",4,0
"mechanical energy systems inc, the solar specialist",2,0
mendocino solar service,2,0
mercury solar systems inc,5,0
meridian solar inc,2,0
metro rf,2,0
milholland electric,272,0.852941176
mimeos sustainability consultants,1,0
mira bella builders,2,0
mirasol solar,12,0.666666667
mission city construction inc,1,0
mohr power solar inc,5,0
"mosher enterprises inc, dba consolidated solar technologies (cst) albuquerque",25,0
mountain view solar,3,0
moxie solar inc,64,0.46875
mr. solar,1,0
my solar llc,1,0
namaster solar,98,0
natural energy,2,0
nb baker electric,15,0
nd burtek energy llc,1,0
nd enlight energy llc,1,0
nd ion solar pros llc,76,1
nd kamtech solar solutions,1,0
nd provoltz,1,0
nd quality home services,2,0
nd savkat inc,1,0
nd solar energy designs,2,0
"nd tkh building service inc, dba revolt solar",2,0
"neil kelly co, dba mr. sun solar",1,0
new england clean energy llc,9,0
new york state solar farm inc,115,0.608695652
next solar inc,32,1
nextenergy corp,10,0
nm solar group inc,2,0
nogginhaus llc & runnemede phce,6,0
north shore solar,1,0
northern pacific power systems inc,90,0.6
oak electric,4,0
occidental power,7,0
olympic sun,2,0
one solar,2,0
one world sustainable energy corp,2,0
pacific electric solar,2,0
pacificsky solar llc,4,0
pavletich electric and communications inc,20,1
peak power solutions,2,0
peak solar designs llc,2,0
pell solar,4,0
perfect power inc,3,0
permacity corp,7,0
phat energy corporation,5,0
"philip a harris, dba pa harris electric",1,0
phoenix solar specialists llc,2,0
photon brothers,5,0
"pm&m electric inc, dba titan solar power",30,0.8
poco solar energy inc,8,0
"positive energy inc, new mexico",4,0
potere solar,4,0
power production management inc,7,0
power trip energy corp,14,0
powerhouse solar inc,42,0.666666667
precis solar,3204,0.842696629
prospect solar,2,0
provision solar inc,2,0
provoltz inc,10,0
psr,1,0
pure energy solar inc,4,0
purepoint energy,50,0.8
pv squared,22,0
pv technology inc,4,0
quad state solar,1,0
quality home services,1070,0.794392523
quantum llc,1,0
radiance solar,4,0
rainshadow solar & energy solutions inc,2,0
rayah solar,3,0
"real goods energy tech, dba real goods solar",6,0
redwood city electric,2,0
regional sales manager,2,0
renewable energy electric inc,2,0
renewable power systems llc,5,0
renewable rochester,6,0
"renewergy solutions group llc, dba solar & more",1,0
renova energy corp,2525,0.861386139
renovus energy inc,15,0
renu energy solutions,2,0
restart solar,7,0
revco solar engineering inc,5,0
revision energy inc,4,0
revolusun,39,0.8
revolution solar,2,0
rising sun llc,17,0
roofsimple inc,2,0
ross solar,13,0
rowe electric inc,2,0
rugg's construction,2,0
salt river solar & wind,3,0
salt service inc,5,0
savkat inc,140,0.771428571
scudder solar electrical energy systems,5,0
scurfield solar and heating,44,0.909090909
sea bright solar llc,693,0.743589744
secco inc,4,0
second generation energy llc,15,0.666666667
sel construction,2,0
semper solaris construction inc,10,0
sequoia solar,2,0
shippee solar and construction llc,4,0
sierra roofing & solar,1,0
simmitri inc,2,0
simple solar systems,9,0
sky engineering,6,0
sky power systems,8,1
sky solar energy inc,10,0.7
skyway electric,1,0
slingshot power,8,0
smart energy solar inc,3,0
smart home remodeling inc,2,0
smart solar llc,3,0
sol reliable inc,1,0
solaire energy systems systems,4,0
solar alliance of america inc,2,0
"solar communities, dba suncommon suncommon",12,0
solar distributors inc. inc,2,0
solar energy designs inc. inc,1,0
solar energy exchange inc,2,0
solar energy partners llc,4,0
solar energy solutions inc,2,0
solar energy solutions llc,3,0
solar energy systems,1,0
solar energy world,2,0
solar five llc,250,0.48
solar forward,20,0.5
solar generation,1,0
solar greenergy,1,0
solar holmes,2,0
solar hut llc,18,0.5
solar ki,2,0
solar liberty energy systems,4,0
solar lights inc,1,0
solar maximum llc,3,0
solar mite solutions llc,18,0.785714286
solar panel solutions inc,1,0
solar plus llc,2,0
solar solution,2,0
solar solutions 4u inc,10,0.2
solar system inc,1,0
solar tec systems inc,2,0
solar technologies,340,0.705882353
solar topps,14,0
solar unlimited,5,0
solar vast,21,0.714285714
solar wave,1,0
solar works ca,10,0
solar wrights inc,8,0
solarcraft,5,0
solardelphia,8,0
solar-fit,4,0
solarmax renewable energy provider inc,2,0
solaron,3,0
solarone energy group llc,60,0.6
solarponics,2,0
solartech,132,0.696969697
solartistry,1,0
solforce systems inc,3,0
sol-tek industries,12,0
sonic solar energy,2,0
south coast solar,100,0.75
south mountain company,8,0
south sound solar,4,0
southard solar & construction,3,0
southern energy management,19,0
"southwest sustainable energy llc, dba border solar",4,0
standard solar inc,20,0
star installations inc,2,0
stellar solar electric,2030,0.75862069
straight up solar,2,0
streamline solar power systems llc,275,0.727272727
stroops accurate refrigerations inc,2,0
sullivan solar power,10,0
summerwind solar llc,6,0
sun farm ventures,1,0
sun first! Inc,135,0.6
sun light & power,2,1
sun metrics corporation,3,0
sun pacific solar electric inc,4,1
sun solar,3927,0.732620321
"sun source, dba lighthouse solar",2,0
sun valley solar inc,465,0.666666667
sunation solar systems inc,14,0
sunbelt solar energy,4,0
sunblue energy,1,0
sunbug solar llc,6,0
suncraft solar,2,0
sundance power systems,2,1
sunergy systems,6,0
sunetric,45,0
sunfiniti of wisconsin,2,0
sunharvest solar,2,0
sunlectric inc,2,0
sunlight solar energy inc,9,0
sunlight solar systems,1,0
sunmade energy inc,4,0.9
sunnymac,1080,0.577777778
sunon energy,4,0.5
sunpower applications and technical support,83,0
sunpro solar,88,0.818181818
sunrise solar inc,4,1
sunrise solar solutions inc,20,0.8
suns up solar,1,0
sunsational solar electric,2,0
sunsense inc,8,0
sunshine pacific group america inc,10,1
sunspear energy llc,2,0
sunstore solar,5,0
suntalk solar,1,0
suntime energy builders,21,0
suntuity,4,0
sunworks inc,6,1
sunworks solar systems inc,5,0
sustainable future,2,0
swan solar,3,0
swg energy,8,0
switch electric llc,1,0
synergy 768 inc,22,0.692307692
t&g roofing company inc,3,0
"taitem engineering, pc",7,0
tayco electric and solar inc,6,0
technicians for sustainability,13,0
terrasol energies inc,4,0
the boston solar company,6,1
the energy savings store,2,0
the energy shop inc,2,0
the entech group,3,0
the solar company,54,0
the solar quote llc,93,0.741935484
third sun solar,3,0
thompson and son energy,16,0.5
titan solar construction,6,0
todays energy store llc,152,0.921052632
training support group,15,0
treepublic inc,4,0
"trinity construction enterprises inc, dba trinity power",26,0.769230769
triple line solar,2,0
true power solar,90,0.8
true south solar inc,4,0
tsp solutions,4,0
ultra solar & wind solutions llc,2,0
urban energy,48,0.9375
us solarworks llc,4,0
usnoa inc,1,0
"valley heating, cooling, electrical",1,0
"valley pacific builders inc, dba pacific solar",48,0.916666667
valley solar inc,12,1
vantage home solar llc,8,1
venture solar,495,0.606060606
